Hospital Name,City,District,State,Country,Date,Patients,Beds,Deaths,Cancer,Tuberculosis,Accidents,Pneumonia,Covid
Australia,,,,AUS,30-05-2021,21,,,,,,,
Australia,,,,AUS,31-05-2021,17,,,,,,,
Australia,,,,AUS,01-06-2021,21,,,,,,,
Australia,,,,AUS,02-06-2021,22,,,,,,,
Australia,,,,AUS,03-06-2021,19,,,,,,,
Australia,,,,AUS,04-06-2021,17,,,,,,,
Australia,,,,AUS,05-06-2021,16,,,,,,,
Australia,,,,AUS,06-06-2021,17,,,,,,,
Australia,,,,AUS,07-06-2021,19,,,,,,,
Australia,,,,AUS,08-06-2021,13,,,,,,,
Australia,,,,AUS,09-06-2021,16,,,,,,,
Australia,,,,AUS,10-06-2021,16,,,,,,,
Australia,,,,AUS,11-06-2021,15,,,,,,,
Australia,,,,AUS,12-06-2021,16,,,,,,,
Australia,,,,AUS,13-06-2021,25,,,,,,,
Australia,,,,AUS,14-06-2021,25,,,,,,,
Australia,,,,AUS,15-06-2021,27,,,,,,,
Australia,,,,AUS,16-06-2021,29,,,,,,,
Australia,,,,AUS,17-06-2021,32,,,,,,,
Australia,,,,AUS,18-06-2021,36,,,,,,,
Australia,,,,AUS,19-06-2021,35,,,,,,,
Australia,,,,AUS,20-06-2021,36,,,,,,,
Australia,,,,AUS,21-06-2021,37,,,,,,,
Australia,,,,AUS,22-06-2021,43,,,,,,,
Australia,,,,AUS,23-06-2021,45,,,,,,,
Australia,,,,AUS,24-06-2021,48,,,,,,,
Australia,,,,AUS,25-06-2021,50,,,,,,,
Australia,,,,AUS,26-06-2021,50,,,,,,,
Australia,,,,AUS,27-06-2021,59,,,,,,,
Australia,,,,AUS,28-06-2021,60,,,,,,,
Australia,,,,AUS,29-06-2021,62,,,,,,,
Australia,,,,AUS,30-06-2021,67,,,,,,,
Australia,,,,AUS,01-07-2021,73,,,,,,,
Australia,,,,AUS,02-07-2021,66,,,,,,,
Australia,,,,AUS,03-07-2021,75,,,,,,,
Australia,,,,AUS,04-07-2021,83,,,,,,,
Australia,,,,AUS,05-07-2021,78,,,,,,,
Australia,,,,AUS,06-07-2021,91,,,,,,,
Australia,,,,AUS,07-07-2021,98,,,,,,,
Australia,,,,AUS,08-07-2021,100,,,,,,,
Australia,,,,AUS,09-07-2021,106,,,,,,,
Australia,,,,AUS,10-07-2021,107,,,,,,,
Australia,,,,AUS,11-07-2021,124,,,,,,,
Australia,,,,AUS,12-07-2021,119,,,,,,,
Australia,,,,AUS,13-07-2021,122,,,,,,,
Australia,,,,AUS,14-07-2021,126,,,,,,,
Australia,,,,AUS,15-07-2021,128,,,,,,,
Australia,,,,AUS,16-07-2021,113,,,,,,,
Australia,,,,AUS,17-07-2021,114,,,,,,,
Australia,,,,AUS,18-07-2021,123,,,,,,,
Australia,,,,AUS,19-07-2021,137,,,,,,,
Australia,,,,AUS,20-07-2021,146,,,,,,,
Australia,,,,AUS,21-07-2021,158,,,,,,,
Australia,,,,AUS,22-07-2021,170,,,,,,,
Australia,,,,AUS,23-07-2021,173,,,,,,,
Australia,,,,AUS,24-07-2021,173,,,,,,,
Australia,,,,AUS,25-07-2021,191,,,,,,,
Australia,,,,AUS,26-07-2021,207,,,,,,,
Australia,,,,AUS,27-07-2021,221,,,,,,,
Australia,,,,AUS,28-07-2021,224,,,,,,,
Australia,,,,AUS,29-07-2021,234,,,,,,,
Australia,,,,AUS,30-07-2021,250,,,,,,,
Australia,,,,AUS,31-07-2021,276,,,,,,,
Australia,,,,AUS,01-08-2021,290,,,,,,,
Australia,,,,AUS,02-08-2021,318,,,,,,,
Australia,,,,AUS,03-08-2021,366,,,,,,,
Australia,,,,AUS,04-08-2021,374,,,,,,,
Australia,,,,AUS,05-08-2021,392,,,,,,,
Australia,,,,AUS,06-08-2021,433,,,,,,,
Australia,,,,AUS,07-08-2021,433,,,,,,,
Australia,,,,AUS,08-08-2021,428,,,,,,,
Australia,,,,AUS,09-08-2021,433,,,,,,,
Australia,,,,AUS,10-08-2021,441,,,,,,,
Australia,,,,AUS,11-08-2021,428,,,,,,,
Australia,,,,AUS,12-08-2021,442,,,,,,,
Australia,,,,AUS,13-08-2021,427,,,,,,,
Australia,,,,AUS,14-08-2021,424,,,,,,,
Australia,,,,AUS,15-08-2021,436,,,,,,,
Australia,,,,AUS,16-08-2021,492,,,,,,,
Australia,,,,AUS,17-08-2021,503,,,,,,,
Australia,,,,AUS,18-08-2021,513,,,,,,,
Australia,,,,AUS,19-08-2021,506,,,,,,,
Australia,,,,AUS,20-08-2021,554,,,,,,,
Australia,,,,AUS,21-08-2021,605,,,,,,,
Australia,,,,AUS,22-08-2021,641,,,,,,,
Australia,,,,AUS,23-08-2021,668,,,,,,,
Australia,,,,AUS,24-08-2021,709,,,,,,,
Australia,,,,AUS,25-08-2021,767,,,,,,,
Australia,,,,AUS,26-08-2021,842,,,,,,,
Australia,,,,AUS,27-08-2021,854,,,,,,,
Australia,,,,AUS,28-08-2021,893,,,,,,,
Australia,,,,AUS,29-08-2021,926,,,,,,,
Australia,,,,AUS,30-08-2021,953,,,,,,,
Australia,,,,AUS,31-08-2021,1008,,,,,,,
Australia,,,,AUS,01-09-2021,1048,,,,,,,
